Timestamp_Offset,Kinematic_Metric,Calculated_Value,Safety_Classification
1000.57,frontal_plane_knee_projection_angle,4.36,GREEN
1000.6,knee_flexion_depth,11.7,GREEN
1000.6,frontal_plane_knee_projection_angle,4.9,GREEN
1000.63,knee_flexion_depth,6.89,GREEN
1000.63,frontal_plane_knee_projection_angle,9.0,GREEN
1000.66,knee_flexion_depth,19.21,GREEN
1000.66,frontal_plane_knee_projection_angle,6.56,GREEN
1000.69,knee_flexion_depth,22.11,GREEN
1000.69,frontal_plane_knee_projection_angle,5.15,GREEN
1000.72,knee_flexion_depth,35.01,GREEN
1000.72,frontal_plane_knee_projection_angle,1.83,GREEN
1000.75,knee_flexion_depth,58.23,GREEN
1000.75,frontal_plane_knee_projection_angle,7.67,GREEN
1000.78,knee_flexion_depth,56.58,GREEN
1000.78,frontal_plane_knee_projection_angle,8.86,GREEN
1000.81,knee_flexion_depth,37.82,GREEN
1000.81,frontal_plane_knee_projection_angle,9.13,GREEN
1000.84,knee_flexion_depth,9.86,GREEN
1000.84,frontal_plane_knee_projection_angle,1.94,GREEN
1000.87,knee_flexion_depth,7.48,GREEN
1000.87,frontal_plane_knee_projection_angle,3.22,GREEN
1000.9,knee_flexion_depth,26.34,GREEN
1000.9,frontal_plane_knee_projection_angle,2.69,GREEN
1000.93,knee_flexion_depth,50.5,GREEN
1000.93,frontal_plane_knee_projection_angle,3.53,GREEN
1000.96,knee_flexion_depth,20.42,GREEN
1000.96,frontal_plane_knee_projection_angle,5.37,GREEN
1000.99,knee_flexion_depth,12.74,GREEN
1000.99,frontal_plane_knee_projection_angle,7.94,GREEN
1001.02,knee_flexion_depth,9.09,GREEN
1001.02,frontal_plane_knee_projection_angle,9.77,GREEN
1001.05,knee_flexion_depth,47.4,GREEN
1001.05,frontal_plane_knee_projection_angle,1.97,GREEN
1001.08,knee_flexion_depth,5.3,GREEN
1001.08,frontal_plane_knee_projection_angle,8.07,GREEN
1001.11,knee_flexion_depth,43.81,GREEN
1001.11,frontal_plane_knee_projection_angle,7.22,GREEN
1001.14,knee_flexion_depth,47.34,GREEN
1001.14,frontal_plane_knee_projection_angle,0.73,GREEN
1001.17,knee_flexion_depth,24.68,GREEN
1001.17,frontal_plane_knee_projection_angle,1.15,GREEN
1001.2,knee_flexion_depth,52.38,GREEN
1001.2,frontal_plane_knee_projection_angle,6.17,GREEN
1001.23,knee_flexion_depth,23.17,GREEN
1001.23,frontal_plane_knee_projection_angle,0.63,GREEN
1001.26,knee_flexion_depth,22.07,GREEN
1001.26,frontal_plane_knee_projection_angle,3.22,GREEN
1001.29,knee_flexion_depth,45.06,GREEN
1001.29,frontal_plane_knee_projection_angle,6.31,GREEN
1001.32,knee_flexion_depth,53.71,GREEN
1001.32,frontal_plane_knee_projection_angle,4.67,GREEN
1001.35,knee_flexion_depth,11.57,GREEN
1001.35,frontal_plane_knee_projection_angle,7.06,GREEN
1001.38,knee_flexion_depth,46.77,GREEN
1001.38,frontal_plane_knee_projection_angle,5.56,GREEN
1001.41,knee_flexion_depth,47.33,GREEN
1001.41,frontal_plane_knee_projection_angle,4.89,GREEN
1001.44,knee_flexion_depth,33.7,GREEN
1001.44,frontal_plane_knee_projection_angle,4.23,GREEN
1001.47,knee_flexion_depth,6.4,GREEN
1001.47,frontal_plane_knee_projection_angle,1.07,GREEN
1001.5,knee_flexion_depth,6.73,GREEN
1001.5,frontal_plane_knee_projection_angle,6.3,GREEN
1001.53,knee_flexion_depth,22.26,GREEN
1001.53,frontal_plane_knee_projection_angle,5.03,GREEN
1001.56,knee_flexion_depth,54.83,GREEN
1001.56,frontal_plane_knee_projection_angle,2.47,GREEN
1001.59,knee_flexion_depth,27.53,GREEN
1001.59,frontal_plane_knee_projection_angle,7.48,GREEN
1001.62,knee_flexion_depth,17.56,GREEN
1001.62,frontal_plane_knee_projection_angle,0.76,GREEN
1001.65,knee_flexion_depth,20.91,GREEN
1001.65,frontal_plane_knee_projection_angle,1.6,GREEN
1001.68,knee_flexion_depth,56.04,GREEN
1001.68,frontal_plane_knee_projection_angle,8.0,GREEN
1001.71,knee_flexion_depth,39.77,GREEN
1001.71,frontal_plane_knee_projection_angle,8.63,GREEN
1001.74,knee_flexion_depth,49.12,GREEN
1001.74,frontal_plane_knee_projection_angle,1.85,GREEN
1001.77,knee_flexion_depth,54.0,GREEN
1001.77,frontal_plane_knee_projection_angle,5.34,GREEN
1001.8,knee_flexion_depth,49.33,GREEN
1001.8,frontal_plane_knee_projection_angle,8.87,GREEN
1001.83,knee_flexion_depth,22.46,GREEN
1001.83,frontal_plane_knee_projection_angle,1.09,GREEN
1001.86,knee_flexion_depth,17.51,GREEN
1001.86,frontal_plane_knee_projection_angle,4.23,GREEN
1001.89,knee_flexion_depth,49.91,GREEN
1001.89,frontal_plane_knee_projection_angle,8.52,GREEN
1001.92,knee_flexion_depth,5.38,GREEN
1001.92,frontal_plane_knee_projection_angle,5.06,GREEN
1001.95,knee_flexion_depth,27.92,GREEN
1001.95,frontal_plane_knee_projection_angle,2.2,GREEN
1001.98,knee_flexion_depth,11.58,GREEN
1001.98,frontal_plane_knee_projection_angle,3.34,GREEN
1002.01,knee_flexion_depth,56.77,GREEN
1002.01,frontal_plane_knee_projection_angle,3.2,GREEN
1002.04,knee_flexion_depth,33.48,GREEN
1002.04,frontal_plane_knee_projection_angle,6.96,GREEN
1002.07,knee_flexion_depth,24.96,GREEN
1002.07,frontal_plane_knee_projection_angle,9.62,GREEN
1002.1,knee_flexion_depth,57.84,GREEN
1002.1,frontal_plane_knee_projection_angle,2.49,GREEN
1002.13,knee_flexion_depth,32.3,GREEN
1002.13,frontal_plane_knee_projection_angle,2.98,GREEN
1002.16,knee_flexion_depth,20.64,GREEN
1002.16,frontal_plane_knee_projection_angle,0.37,GREEN
1002.19,knee_flexion_depth,38.47,GREEN
1002.19,frontal_plane_knee_projection_angle,4.98,GREEN
1002.22,knee_flexion_depth,7.83,GREEN
1002.22,frontal_plane_knee_projection_angle,2.76,GREEN
1002.25,knee_flexion_depth,54.86,GREEN
1002.25,frontal_plane_knee_projection_angle,2.37,GREEN
1002.28,knee_flexion_depth,12.95,GREEN
1002.28,frontal_plane_knee_projection_angle,4.85,GREEN
1002.31,knee_flexion_depth,59.11,GREEN
1002.31,frontal_plane_knee_projection_angle,2.4,GREEN
1002.34,knee_flexion_depth,41.9,GREEN
1002.34,frontal_plane_knee_projection_angle,7.54,GREEN
1002.37,knee_flexion_depth,18.05,GREEN
1002.37,frontal_plane_knee_projection_angle,7.21,GREEN
1002.4,knee_flexion_depth,25.19,GREEN
1002.4,frontal_plane_knee_projection_angle,6.26,GREEN
1002.43,knee_flexion_depth,39.78,GREEN
1002.43,frontal_plane_knee_projection_angle,5.3,GREEN
1002.46,knee_flexion_depth,9.96,GREEN
1002.46,frontal_plane_knee_projection_angle,8.27,GREEN
1002.49,knee_flexion_depth,22.61,GREEN
1002.49,frontal_plane_knee_projection_angle,1.85,GREEN
1002.52,knee_flexion_depth,7.24,GREEN
1002.52,frontal_plane_knee_projection_angle,5.85,GREEN
1002.55,knee_flexion_depth,42.2,GREEN
1002.55,frontal_plane_knee_projection_angle,0.16,GREEN
1002.58,knee_flexion_depth,33.11,GREEN
1002.58,frontal_plane_knee_projection_angle,2.24,GREEN
1002.61,knee_flexion_depth,40.42,GREEN
1002.61,frontal_plane_knee_projection_angle,1.73,GREEN
1002.64,knee_flexion_depth,42.93,GREEN
1002.64,frontal_plane_knee_projection_angle,3.83,GREEN
1002.67,knee_flexion_depth,56.43,GREEN
1002.67,frontal_plane_knee_projection_angle,1.36,GREEN
1002.7,knee_flexion_depth,23.72,GREEN
1002.7,frontal_plane_knee_projection_angle,1.12,GREEN
1002.73,knee_flexion_depth,55.77,GREEN
1002.73,frontal_plane_knee_projection_angle,8.69,GREEN
1002.76,knee_flexion_depth,19.16,GREEN
1002.76,frontal_plane_knee_projection_angle,6.53,GREEN
1002.79,knee_flexion_depth,49.87,GREEN
1002.79,frontal_plane_knee_projection_angle,5.5,GREEN
1002.82,knee_flexion_depth,34.08,GREEN
1002.82,frontal_plane_knee_projection_angle,2.39,GREEN
1002.85,knee_flexion_depth,10.11,GREEN
1002.85,frontal_plane_knee_projection_angle,8.88,GREEN
1002.88,knee_flexion_depth,54.43,GREEN
1002.88,frontal_plane_knee_projection_angle,6.27,GREEN
1002.91,knee_flexion_depth,23.61,GREEN
1002.91,frontal_plane_knee_projection_angle,3.46,GREEN
1002.94,knee_flexion_depth,44.85,GREEN
1002.94,frontal_plane_knee_projection_angle,8.88,GREEN
1002.97,knee_flexion_depth,53.7,GREEN
1002.97,frontal_plane_knee_projection_angle,7.72,GREEN
1003.0,knee_flexion_depth,40.25,GREEN
1003.0,frontal_plane_knee_projection_angle,0.83,GREEN
1003.03,knee_flexion_depth,13.87,GREEN
1003.03,frontal_plane_knee_projection_angle,8.9,GREEN
1003.06,knee_flexion_depth,38.29,GREEN
1003.06,frontal_plane_knee_projection_angle,0.09,GREEN
1003.09,knee_flexion_depth,10.57,GREEN
1003.09,frontal_plane_knee_projection_angle,6.57,GREEN
1003.12,knee_flexion_depth,5.28,GREEN
1003.12,frontal_plane_knee_projection_angle,1.59,GREEN
1003.15,knee_flexion_depth,35.13,GREEN
1003.15,frontal_plane_knee_projection_angle,6.85,GREEN
1003.18,knee_flexion_depth,40.79,GREEN
1003.18,frontal_plane_knee_projection_angle,2.22,GREEN
1003.21,knee_flexion_depth,44.1,GREEN
1003.21,frontal_plane_knee_projection_angle,2.35,GREEN
1003.24,knee_flexion_depth,22.86,GREEN
1003.24,frontal_plane_knee_projection_angle,7.39,GREEN
1003.27,knee_flexion_depth,40.66,GREEN
1003.27,frontal_plane_knee_projection_angle,8.41,GREEN
1003.3,knee_flexion_depth,41.1,GREEN
1003.3,frontal_plane_knee_projection_angle,5.63,GREEN
1003.33,knee_flexion_depth,10.14,GREEN
1003.33,frontal_plane_knee_projection_angle,3.64,GREEN
1003.36,knee_flexion_depth,19.56,GREEN
1003.36,frontal_plane_knee_projection_angle,2.42,GREEN
1003.39,knee_flexion_depth,58.42,GREEN
1003.39,frontal_plane_knee_projection_angle,3.89,GREEN
1003.42,knee_flexion_depth,53.97,GREEN
1003.42,frontal_plane_knee_projection_angle,6.25,GREEN
1003.45,knee_flexion_depth,48.64,GREEN
1003.45,frontal_plane_knee_projection_angle,4.98,GREEN
1003.48,knee_flexion_depth,36.67,GREEN
1003.48,frontal_plane_knee_projection_angle,4.88,GREEN
1003.51,knee_flexion_depth,15.72,GREEN
1003.51,frontal_plane_knee_projection_angle,7.15,GREEN
1003.54,knee_flexion_depth,20.41,GREEN
1003.54,frontal_plane_knee_projection_angle,0.24,GREEN
1003.57,knee_flexion_depth,40.44,GREEN
1003.57,frontal_plane_knee_projection_angle,1.75,GREEN
1003.6,knee_flexion_depth,56.63,GREEN
1003.6,frontal_plane_knee_projection_angle,9.44,GREEN
1003.63,knee_flexion_depth,55.23,GREEN
1003.63,frontal_plane_knee_projection_angle,3.66,GREEN
1003.66,knee_flexion_depth,5.85,GREEN
1003.66,frontal_plane_knee_projection_angle,9.19,GREEN
1003.69,knee_flexion_depth,28.51,GREEN
1003.69,frontal_plane_knee_projection_angle,9.57,GREEN
1003.72,knee_flexion_depth,57.9,GREEN
1003.72,frontal_plane_knee_projection_angle,8.44,GREEN
1003.75,knee_flexion_depth,21.17,GREEN
1003.75,frontal_plane_knee_projection_angle,3.81,GREEN
1003.78,knee_flexion_depth,51.73,GREEN
1003.78,frontal_plane_knee_projection_angle,3.14,GREEN
1003.81,knee_flexion_depth,14.31,GREEN
1003.81,frontal_plane_knee_projection_angle,5.51,GREEN
1003.84,knee_flexion_depth,56.39,GREEN
1003.84,frontal_plane_knee_projection_angle,6.89,GREEN
1003.87,knee_flexion_depth,36.3,GREEN
1003.87,frontal_plane_knee_projection_angle,0.96,GREEN
1003.9,knee_flexion_depth,38.76,GREEN
1003.9,frontal_plane_knee_projection_angle,9.8,GREEN
1003.93,knee_flexion_depth,12.69,GREEN
1003.93,frontal_plane_knee_projection_angle,5.13,GREEN
1003.96,knee_flexion_depth,53.17,GREEN
1003.96,frontal_plane_knee_projection_angle,7.33,GREEN
1003.99,knee_flexion_depth,43.27,GREEN
1003.99,frontal_plane_knee_projection_angle,6.95,GREEN
1004.02,knee_flexion_depth,24.74,GREEN
1004.02,frontal_plane_knee_projection_angle,2.91,GREEN
1004.05,knee_flexion_depth,49.43,GREEN
1004.05,frontal_plane_knee_projection_angle,8.02,GREEN
1004.08,knee_flexion_depth,52.6,GREEN
1004.08,frontal_plane_knee_projection_angle,9.04,GREEN
1004.11,knee_flexion_depth,33.07,GREEN
1004.11,frontal_plane_knee_projection_angle,4.97,GREEN
1004.14,knee_flexion_depth,48.83,GREEN
1004.14,frontal_plane_knee_projection_angle,6.43,GREEN
1004.17,knee_flexion_depth,43.54,GREEN
1004.17,frontal_plane_knee_projection_angle,7.88,GREEN
1004.2,knee_flexion_depth,53.86,GREEN
1004.2,frontal_plane_knee_projection_angle,3.35,GREEN
1004.23,knee_flexion_depth,25.62,GREEN
1004.23,frontal_plane_knee_projection_angle,0.93,GREEN
1004.26,knee_flexion_depth,36.75,GREEN
1004.26,frontal_plane_knee_projection_angle,0.36,GREEN
1004.29,knee_flexion_depth,30.56,GREEN
1004.29,frontal_plane_knee_projection_angle,5.37,GREEN
1004.32,knee_flexion_depth,20.73,GREEN
1004.32,frontal_plane_knee_projection_angle,5.85,GREEN
1004.35,knee_flexion_depth,6.67,GREEN
1004.35,frontal_plane_knee_projection_angle,0.37,GREEN
1004.38,knee_flexion_depth,50.16,GREEN
1004.38,frontal_plane_knee_projection_angle,3.57,GREEN
1004.41,knee_flexion_depth,11.98,GREEN
1004.41,frontal_plane_knee_projection_angle,5.17,GREEN
1004.44,knee_flexion_depth,47.27,GREEN
1004.44,frontal_plane_knee_projection_angle,2.14,GREEN
1004.47,knee_flexion_depth,39.2,GREEN
1004.47,frontal_plane_knee_projection_angle,0.84,GREEN
1004.5,knee_flexion_depth,7.84,GREEN
1004.5,frontal_plane_knee_projection_angle,5.26,GREEN
1004.53,knee_flexion_depth,34.68,GREEN
1004.53,frontal_plane_knee_projection_angle,6.31,GREEN
1004.56,knee_flexion_depth,44.86,GREEN
1004.56,frontal_plane_knee_projection_angle,9.66,GREEN
1004.59,knee_flexion_depth,33.34,GREEN
1004.59,frontal_plane_knee_projection_angle,3.2,GREEN
1004.62,knee_flexion_depth,48.66,GREEN
1004.62,frontal_plane_knee_projection_angle,2.68,GREEN
1004.65,knee_flexion_depth,29.1,GREEN
1004.65,frontal_plane_knee_projection_angle,0.78,GREEN
1004.68,knee_flexion_depth,6.39,GREEN
1004.68,frontal_plane_knee_projection_angle,9.53,GREEN
1004.71,knee_flexion_depth,50.9,GREEN
1004.71,frontal_plane_knee_projection_angle,6.89,GREEN
1004.74,knee_flexion_depth,27.45,GREEN
1004.74,frontal_plane_knee_projection_angle,1.72,GREEN
1004.77,knee_flexion_depth,13.59,GREEN
1004.77,frontal_plane_knee_projection_angle,2.48,GREEN
1004.8,knee_flexion_depth,35.15,GREEN
1004.8,frontal_plane_knee_projection_angle,7.07,GREEN
1004.83,knee_flexion_depth,41.24,GREEN
1004.83,frontal_plane_knee_projection_angle,2.77,GREEN
1004.86,knee_flexion_depth,57.42,GREEN
1004.86,frontal_plane_knee_projection_angle,7.31,GREEN
1004.89,knee_flexion_depth,35.43,GREEN
1004.89,frontal_plane_knee_projection_angle,6.06,GREEN
1004.92,knee_flexion_depth,28.04,GREEN
1004.92,frontal_plane_knee_projection_angle,2.45,GREEN
1004.95,knee_flexion_depth,24.54,GREEN
1004.95,frontal_plane_knee_projection_angle,7.5,GREEN
1004.98,knee_flexion_depth,5.79,GREEN
1004.98,frontal_plane_knee_projection_angle,1.15,GREEN
1005.01,knee_flexion_depth,7.53,GREEN
1005.01,frontal_plane_knee_projection_angle,0.4,GREEN
1005.04,knee_flexion_depth,51.96,GREEN
1005.04,frontal_plane_knee_projection_angle,6.97,GREEN
1005.07,knee_flexion_depth,31.03,GREEN
1005.07,frontal_plane_knee_projection_angle,0.97,GREEN
1005.1,knee_flexion_depth,31.99,GREEN
1005.1,frontal_plane_knee_projection_angle,4.69,GREEN
1005.13,knee_flexion_depth,14.51,GREEN
1005.13,frontal_plane_knee_projection_angle,4.3,GREEN
1005.16,knee_flexion_depth,26.88,GREEN
1005.16,frontal_plane_knee_projection_angle,6.1,GREEN
1005.19,knee_flexion_depth,39.87,GREEN
1005.19,frontal_plane_knee_projection_angle,0.45,GREEN
1005.22,knee_flexion_depth,25.57,GREEN
1005.22,frontal_plane_knee_projection_angle,6.2,GREEN
1005.25,knee_flexion_depth,32.62,GREEN
1005.25,frontal_plane_knee_projection_angle,8.48,GREEN
1005.28,knee_flexion_depth,41.16,GREEN
1005.28,frontal_plane_knee_projection_angle,1.61,GREEN
1005.31,knee_flexion_depth,8.87,GREEN
1005.31,frontal_plane_knee_projection_angle,6.36,GREEN
1005.34,knee_flexion_depth,6.46,GREEN
1005.34,frontal_plane_knee_projection_angle,5.8,GREEN
1005.37,knee_flexion_depth,56.62,GREEN
1005.37,frontal_plane_knee_projection_angle,5.7,GREEN
1005.4,knee_flexion_depth,26.31,GREEN
1005.4,frontal_plane_knee_projection_angle,6.37,GREEN
1005.43,knee_flexion_depth,30.16,GREEN
1005.43,frontal_plane_knee_projection_angle,5.4,GREEN
1005.46,knee_flexion_depth,56.69,GREEN
1005.46,frontal_plane_knee_projection_angle,3.82,GREEN
1005.49,knee_flexion_depth,57.77,GREEN
1005.49,frontal_plane_knee_projection_angle,8.96,GREEN
1005.52,knee_flexion_depth,15.75,GREEN
1005.52,frontal_plane_knee_projection_angle,0.69,GREEN
1005.55,knee_flexion_depth,10.53,GREEN
1005.55,frontal_plane_knee_projection_angle,0.18,GREEN
1005.58,knee_flexion_depth,10.18,GREEN
1005.58,frontal_plane_knee_projection_angle,6.76,GREEN
1005.61,knee_flexion_depth,8.91,GREEN
1005.61,frontal_plane_knee_projection_angle,3.16,GREEN
1005.64,knee_flexion_depth,51.38,GREEN
1005.64,frontal_plane_knee_projection_angle,0.23,GREEN
1005.67,knee_flexion_depth,49.71,GREEN
1005.67,frontal_plane_knee_projection_angle,2.79,GREEN
1005.7,knee_flexion_depth,11.49,GREEN
1005.7,frontal_plane_knee_projection_angle,6.9,GREEN
1005.73,knee_flexion_depth,39.53,GREEN
1005.73,frontal_plane_knee_projection_angle,8.69,GREEN
1005.76,knee_flexion_depth,45.36,GREEN
1005.76,frontal_plane_knee_projection_angle,7.95,GREEN
1005.79,knee_flexion_depth,20.48,GREEN
1005.79,frontal_plane_knee_projection_angle,1.76,GREEN
1005.82,knee_flexion_depth,46.21,GREEN
1005.82,frontal_plane_knee_projection_angle,7.99,GREEN
1005.85,knee_flexion_depth,59.38,GREEN
1005.85,frontal_plane_knee_projection_angle,4.08,GREEN
1005.88,knee_flexion_depth,25.42,GREEN
1005.88,frontal_plane_knee_projection_angle,7.69,GREEN
1005.91,knee_flexion_depth,23.71,GREEN
1005.91,frontal_plane_knee_projection_angle,9.21,GREEN
1005.94,knee_flexion_depth,52.13,GREEN
1005.94,frontal_plane_knee_projection_angle,4.25,GREEN
1005.97,knee_flexion_depth,46.22,GREEN
1005.97,frontal_plane_knee_projection_angle,7.47,GREEN
1006.0,knee_flexion_depth,10.66,GREEN
1006.0,frontal_plane_knee_projection_angle,8.94,GREEN
1006.03,knee_flexion_depth,32.74,GREEN
1006.03,frontal_plane_knee_projection_angle,8.18,GREEN
1006.06,knee_flexion_depth,22.57,GREEN
1006.06,frontal_plane_knee_projection_angle,8.87,GREEN
1006.09,knee_flexion_depth,26.37,GREEN
1006.09,frontal_plane_knee_projection_angle,0.11,GREEN
1006.12,knee_flexion_depth,54.71,GREEN
1006.12,frontal_plane_knee_projection_angle,0.9,GREEN
1006.15,knee_flexion_depth,22.53,GREEN
1006.15,frontal_plane_knee_projection_angle,9.41,GREEN
1006.18,knee_flexion_depth,57.19,GREEN
1006.18,frontal_plane_knee_projection_angle,5.68,GREEN
1006.21,knee_flexion_depth,39.69,GREEN
1006.21,frontal_plane_knee_projection_angle,4.44,GREEN
1006.24,knee_flexion_depth,21.1,GREEN
1006.24,frontal_plane_knee_projection_angle,3.25,GREEN
1006.27,knee_flexion_depth,41.92,GREEN
1006.27,frontal_plane_knee_projection_angle,7.45,GREEN
1006.3,knee_flexion_depth,48.46,GREEN
1006.3,frontal_plane_knee_projection_angle,7.82,GREEN
1006.33,knee_flexion_depth,10.01,GREEN
1006.33,frontal_plane_knee_projection_angle,4.89,GREEN
1006.36,knee_flexion_depth,8.16,GREEN
1006.36,frontal_plane_knee_projection_angle,5.44,GREEN
1006.39,knee_flexion_depth,29.24,GREEN
1006.39,frontal_plane_knee_projection_angle,8.79,GREEN
1006.42,knee_flexion_depth,24.27,GREEN
1006.42,frontal_plane_knee_projection_angle,1.16,GREEN
1006.45,knee_flexion_depth,12.85,GREEN
1006.45,frontal_plane_knee_projection_angle,7.54,GREEN
1006.48,knee_flexion_depth,38.94,GREEN
1006.48,frontal_plane_knee_projection_angle,1.0,GREEN
1006.51,knee_flexion_depth,9.62,GREEN
1006.51,frontal_plane_knee_projection_angle,6.94,GREEN
1006.54,knee_flexion_depth,8.99,GREEN
1006.54,frontal_plane_knee_projection_angle,8.14,GREEN
1006.57,knee_flexion_depth,43.77,GREEN
1006.57,frontal_plane_knee_projection_angle,0.81,GREEN
1006.6,knee_flexion_depth,9.66,GREEN
1006.6,frontal_plane_knee_projection_angle,9.77,GREEN
1006.63,knee_flexion_depth,25.55,GREEN
1006.63,frontal_plane_knee_projection_angle,3.67,GREEN
1006.66,knee_flexion_depth,49.62,GREEN
1006.66,frontal_plane_knee_projection_angle,9.38,GREEN
1006.69,knee_flexion_depth,59.13,GREEN
1006.69,frontal_plane_knee_projection_angle,7.46,GREEN
1006.72,knee_flexion_depth,25.66,GREEN
1006.72,frontal_plane_knee_projection_angle,0.83,GREEN
1006.75,knee_flexion_depth,47.67,GREEN
1006.75,frontal_plane_knee_projection_angle,5.53,GREEN
1006.78,knee_flexion_depth,28.29,GREEN
1006.78,frontal_plane_knee_projection_angle,8.97,GREEN
1006.81,knee_flexion_depth,11.1,GREEN
1006.81,frontal_plane_knee_projection_angle,4.88,GREEN
1006.84,knee_flexion_depth,5.62,GREEN
1006.84,frontal_plane_knee_projection_angle,4.64,GREEN
1006.87,knee_flexion_depth,8.09,GREEN
1006.87,frontal_plane_knee_projection_angle,1.18,GREEN
1006.9,knee_flexion_depth,11.45,GREEN
1006.9,frontal_plane_knee_projection_angle,6.43,GREEN
1006.93,knee_flexion_depth,45.96,GREEN
1006.93,frontal_plane_knee_projection_angle,5.78,GREEN
1006.96,knee_flexion_depth,57.82,GREEN
1006.96,frontal_plane_knee_projection_angle,3.71,GREEN
1006.99,knee_flexion_depth,20.69,GREEN
1006.99,frontal_plane_knee_projection_angle,8.6,GREEN
1007.02,knee_flexion_depth,17.28,GREEN
1007.02,frontal_plane_knee_projection_angle,9.54,GREEN
1007.05,knee_flexion_depth,5.67,GREEN
1007.05,frontal_plane_knee_projection_angle,9.6,GREEN
1007.08,knee_flexion_depth,7.37,GREEN
1007.08,frontal_plane_knee_projection_angle,8.82,GREEN
1007.11,knee_flexion_depth,33.97,GREEN
1007.11,frontal_plane_knee_projection_angle,9.83,GREEN
1007.14,knee_flexion_depth,9.05,GREEN
1007.14,frontal_plane_knee_projection_angle,5.48,GREEN
1007.17,knee_flexion_depth,58.21,GREEN
1007.17,frontal_plane_knee_projection_angle,5.18,GREEN
1007.2,knee_flexion_depth,39.55,GREEN
1007.2,frontal_plane_knee_projection_angle,6.89,GREEN
1007.23,knee_flexion_depth,29.95,GREEN
1007.23,frontal_plane_knee_projection_angle,6.21,GREEN
1007.26,knee_flexion_depth,37.08,GREEN
1007.26,frontal_plane_knee_projection_angle,8.92,GREEN
1007.29,knee_flexion_depth,7.5,GREEN
1007.29,frontal_plane_knee_projection_angle,2.78,GREEN
1007.32,knee_flexion_depth,57.18,GREEN
1007.32,frontal_plane_knee_projection_angle,8.81,GREEN
1007.35,knee_flexion_depth,30.02,GREEN
1007.35,frontal_plane_knee_projection_angle,6.14,GREEN
1007.38,knee_flexion_depth,20.23,GREEN
1007.38,frontal_plane_knee_projection_angle,1.86,GREEN
1007.41,knee_flexion_depth,30.46,GREEN
1007.41,frontal_plane_knee_projection_angle,3.5,GREEN
1007.44,knee_flexion_depth,37.04,GREEN
1007.44,frontal_plane_knee_projection_angle,0.77,GREEN
1007.47,knee_flexion_depth,58.49,GREEN
1007.47,frontal_plane_knee_projection_angle,9.76,GREEN
1007.5,knee_flexion_depth,43.33,GREEN
1007.5,frontal_plane_knee_projection_angle,5.31,GREEN
1007.53,knee_flexion_depth,21.99,GREEN
1007.53,frontal_plane_knee_projection_angle,8.06,GREEN
1007.56,knee_flexion_depth,42.59,GREEN
1007.56,frontal_plane_knee_projection_angle,1.61,GREEN
1007.59,knee_flexion_depth,55.01,GREEN
1007.59,frontal_plane_knee_projection_angle,8.14,GREEN
1007.62,knee_flexion_depth,57.14,GREEN
1007.62,frontal_plane_knee_projection_angle,7.18,GREEN
1007.65,knee_flexion_depth,38.68,GREEN
1007.65,frontal_plane_knee_projection_angle,4.14,GREEN
1007.68,knee_flexion_depth,56.21,GREEN
1007.68,frontal_plane_knee_projection_angle,8.57,GREEN
1007.71,knee_flexion_depth,7.48,GREEN
